Name,Feild of work,Author's Pub,Adj.#,Citations,h-index,i10-index,HomePage,ORCID,Institution,Count for ins,Faculty
Jaeyeon Lee 0002,Hci,6,1.9,261.0,7.0,7.0,http://jaeyeonlee.com/,0000-0002-6474-8080,UNIST,1.9,10
Kwang In Kim,Vision,3,0.6,7692.0,32.0,51.0,https://sites.google.com/view/kimki,0000-0002-6470-4571,UNIST,1.9,10
Sungahn Ko,,2,0.2,,,,,0000-0002-7410-5652,UNIST,1.9,10
Sungbin Lim,"Ml, Robotics",2,0.4,906.0,12.0,16.0,https://sites.google.com/view/sungbin,,UNIST,1.9,10
Jeong hwan Jeon,,1,0.3,450.0,7.0,6.0,http://rml.unist.ac.kr/,0000-0001-7632-0201,UNIST,1.9,10
Miran Kim,Security,1,0.3,3029.0,22.0,22.0,https://k-miran.github.io/,0000-0003-3564-6090,UNIST,1.9,10
Taehwan Kim,,1,0.1,,,,,0000-0003-1015-8752,UNIST,1.9,10
Seulki Lee,Mobile,1,0.3,134.0,5.0,4.0,https://sites.google.com/view/seulkilee,0000-0002-4575-4514,UNIST,1.9,10
Patrick Olivier,Hci,72,13.1,15872.0,64.0,232.0,https://research.monash.edu/en/persons/patrick-olivier,0000-0003-2841-7580,Monash University,3.6,25
Tim Dwyer,Visualization,31,5.6,5383.0,44.0,99.0,http://marvl.infotech.monash.edu/~dwyer,0000-0002-9076-9571,Monash University,3.6,25
Florian 'Floyd' Mueller,Hci,29,7.2,7932.0,44.0,173.0,http://exertiongameslab.org/,0000-0001-6472-3476,Monash University,3.6,25
Kim Marriott,"Visualization, Hci",28,6.1,,,,,0000-0002-9813-0377,Monash University,3.6,25
Barrett Ens,Hci,18,3.4,,,,,0000-0001-6695-4809,Monash University,3.6,25
Tom Bartindale,Hci,16,3.6,805.0,16.0,25.0,http://tom.bartindale.com/,0000-0002-0476-3422,Monash University,3.6,25
Matthew Butler 0002,Hci,7,1.8,1821.0,21.0,34.0,https://www.ohsu.edu/people/matthew-butler/AFE0548AFDD3CCD3E18E48823F48A226,0000-0002-7950-5495,Monash University,3.6,25
Reuben Kirkham,Hci,6,1.3,,,,,0000-0002-1902-549X,Monash University,3.6,25
Michael Wybrow,Visualization,5,1.1,1285.0,18.0,24.0,http://users.monash.edu/~mwybrow/,0000-0001-5536-7780,Monash University,3.6,25
Jon Whittle 0001,Hci,4,1.0,,,,,0000-0002-9342-7809,Monash University,3.6,25
Cagatay Goncu,Hci,4,0.9,474.0,11.0,12.0,https://www.linkedin.com/in/cagataygoncu/,0000-0001-7846-8795,Monash University,3.6,25
Jan Carlo Barca,Robotics,3,0.8,,,,,0000-0001-6939-4632,Monash University,3.6,25
Kirsten Ellis,Hci,3,0.7,391.0,10.0,11.0,https://sites.google.com/site/drkirstenellis/home,0000-0002-7570-0939,Monash University,3.6,25
Arun Siddharth Konagurthu,Comp. bio,3,0.9,,,,,,Monash University,3.6,25
Jon McCormack,Hci,3,1.0,7764.0,42.0,80.0,http://www.mccormicklab.ca/,0000-0001-6328-5064,Monash University,3.6,25
Li Li,Nlp,2,0.5,5339.0,33.0,75.0,http://lilicoding.github.io/,0000-0003-4834-8447,Monash University,3.6,25
Christopher Mears,Visualization,2,0.4,,,,,,Monash University,3.6,25
Guido Tack,Ai,2,0.4,2807.0,19.0,37.0,https://research.monash.edu/en/persons/guido-tack,0000-0003-3357-6498,Monash University,3.6,25
Mark Wallace 0001,,1,0.2,,,,,0000-0001-7326-8110,Monash University,3.6,25
Xin Xia 0001,Se,1,0.1,10345.0,56.0,182.0,https://xin-xia.github.io/,0000-0002-6302-3256,Monash University,3.6,25
Maria Garcia de la Banda,Ai,1,0.2,,,,,0000-0002-6666-514X,Monash University,3.6,25
Chunyang Chen,Se,1,0.2,1908.0,26.0,35.0,https://chunyang-chen.github.io/,0000-0003-2011-9618,Monash University,3.6,25
Gholamreza Haffari,Nlp,1,0.1,11619.0,35.0,82.0,http://users.monash.edu.au/~gholamrh/,0000-0001-7326-8380,Monash University,3.6,25
Yuan-Fang Li,Ai,1,0.2,2368.0,25.0,54.0,https://users.monash.edu/~yli/,0000-0003-4651-2821,Monash University,3.6,25
Lizhen Qu,Nlp,1,0.3,2306.0,18.0,24.0,https://research.monash.edu/en/persons/lizhen-qu,0000-0002-7764-431X,Monash University,3.6,25
Fabio Ramos 0001,Robotics,49,15.5,,,,,0000-0002-2996-2188,University of Sydney,2.4,12
Judy Kay,Hci,10,2.6,13145.0,59.0,233.0,http://judykay.name/,0000-0001-6728-2768,University of Sydney,2.4,12
Anusha Withana,Hci,7,1.7,856.0,13.0,16.0,http://withana.info/,0000-0001-6587-1278,University of Sydney,2.4,12
Irena Koprinska,"Nlp, Hci",2,0.3,5481.0,35.0,88.0,http://www.it.usyd.edu.au/~irena,0000-0001-9479-4187,University of Sydney,2.4,12
Suranga Seneviratne,"Web+ir, Metrics, Hci",2,0.3,1984.0,19.0,26.0,https://www.suranga.me/,0000-0002-5485-5595,University of Sydney,2.4,12
Dacheng Tao,,2,0.7,88710.0,148.0,868.0,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/dacheng-tao.html,0000-0001-7225-5449,University of Sydney,2.4,12
Kanchana Thilakarathna,Hci,2,0.5,1345.0,15.0,23.0,http://sydney.edu.au/engineering/people/kanchana.thilakarathna.php,0000-0003-4332-0082,University of Sydney,2.4,12
Jonathan K. Kummerfeld,Nlp,1,0.3,1863.0,22.0,30.0,https://www.jkk.name/,0000-0001-5030-3016,University of Sydney,2.4,12
Julián Mestre,,1,0.3,1957.0,20.0,37.0,https://sydney.edu.au/engineering/people/julian.mestre.php,0000-0003-4948-2998,University of Sydney,2.4,12
Seeun William Umboh,Theory,1,0.2,167.0,8.0,7.0,http://williamumboh.com/,0000-0001-6984-4007,University of Sydney,2.4,12
Kalina Yacef,,1,0.1,,,,,0000-0001-7521-6429,University of Sydney,2.4,12
Albert Y. Zomaya,Ai,1,0.1,35460.0,89.0,567.0,https://albertzomaya.github.io/My-WebPage/,0000-0002-3090-1059,University of Sydney,2.4,12
Robert E. Mahony,Robotics,22,6.9,,,,,0000-0002-7803-2868,Australian National University,2.2,11
Josh Andres,Hci,7,1.1,,,,,0000-0001-5882-3139,Australian National University,2.2,11
Hongdong Li,Vision,7,1.8,7619.0,35.0,64.0,https://genemine.github.io/,0000-0003-4125-1554,Australian National University,2.2,11
Hanna Kurniawati,Robotics,6,2.2,2875.0,19.0,32.0,https://users.cecs.anu.edu.au/~hannakur/,,Australian National University,2.2,11
Yu Lin 0001,Comp. bio,3,1.1,3053.0,21.0,35.0,http://users.cecs.anu.edu.au/~u1024708/,0000-0001-6339-2644,Australian National University,2.2,11
Ben Swift,Hci,3,1.6,292.0,10.0,10.0,http://benswift.me/,0000-0003-2138-5969,Australian National University,2.2,11
Jennyfer Lawrence Taylor,Hci,3,0.6,259.0,10.0,10.0,https://cecs.anu.edu.au/people/jennyfer-lawrence-taylor,0000-0003-1137-6444,Australian National University,2.2,11
Charles P. Martin,,2,0.5,399.0,11.0,13.0,https://charlesmartin.com.au/,0000-0001-5683-7529,Australian National University,2.2,11
Brian D. O. Anderson,,1,0.2,,,,,0000-0002-1493-4774,Australian National University,2.2,11
Nick Barnes,Vision,1,0.3,,,,,0000-0002-9343-9535,Australian National University,2.2,11
Stephen Gould,Vision,1,0.3,,,,,0000-0001-8929-7899,Australian National University,2.2,11
Aaron J. Quigley,Hci,12,2.8,3677.0,31.0,83.0,http://www.aaronquigley.org/,0000-0002-5274-6889,UNSW,2.1,9
Wen Hu,"Mobile, Hci",6,1.3,,,,,0000-0002-4076-1811,UNSW,2.1,9
Claude Sammut,"Robotics, Ai",5,2.3,,,,,0000-0001-8873-5228,UNSW,2.1,9
Haris Aziz 0001,Ai,4,2.3,4688.0,39.0,109.0,https://sites.google.com/site/harisaziz/,0000-0001-9757-4956,UNSW,2.1,9
Lina Yao 0001,Ai,3,0.5,11068.0,52.0,157.0,http://www.linayao.com/,0000-0002-4149-839X,UNSW,2.1,9
Mahbub Hassan,Hci,3,0.7,6008.0,35.0,112.0,http://www.cse.unsw.edu.au/~mahbub,0000-0002-3417-8590,UNSW,2.1,9
Salil S. Kanhere,"Ai, Hci",3,0.5,17119.0,64.0,189.0,http://www.salilkanhere.net/,0000-0002-1835-3475,UNSW,2.1,9
Chun Tung Chou,Mobile,1,0.2,6032.0,39.0,118.0,http://www.cse.unsw.edu.au/~ctchou,0000-0003-4512-7155,UNSW,2.1,9
Bernhard Hengst,,1,0.3,,,,,,UNSW,2.1,9
Vassilis Kostakos,Hci,38,6.6,9684.0,49.0,165.0,http://people.eng.unimelb.edu.au/vkostakos,0000-0003-2804-6038,University of Melbourne,2.1,19
Jorge Gonçalves 0001,Hci,32,5.3,4053.0,34.0,101.0,http://www.jorgegoncalves.com/,0000-0002-0117-0322,University of Melbourne,2.1,19
Eduardo Velloso,Hci,23,5.2,2646.0,27.0,51.0,http://www.eduardovelloso.com/,0000-0003-4414-2249,University of Melbourne,2.1,19
Frank Vetere,Hci,23,4.3,8182.0,50.0,148.0,http://people.eng.unimelb.edu.au/fv/,0000-0003-3727-9204,University of Melbourne,2.1,19
Tilman Dingler,Hci,22,4.4,2291.0,24.0,43.0,http://www.tilmanification.com/,0000-0001-6180-7033,University of Melbourne,2.1,19
Jarrod Knibbe,Hci,13,3.3,,,,,0000-0002-8844-8576,University of Melbourne,2.1,19
Wally Smith,Hci,8,1.9,,,,,0000-0002-1059-6704,University of Melbourne,2.1,19
Martin R. Gibbs,Hci,7,1.9,,,,,,University of Melbourne,2.1,19
Jenny Waycott,Hci,7,1.1,7396.0,37.0,97.0,http://jwaycott.com/,0000-0002-4634-0532,University of Melbourne,2.1,19
Melissa J. Rogerson,Hci,5,1.4,307.0,8.0,8.0,http://www.melissarogerson.com/,0000-0002-9851-6608,University of Melbourne,2.1,19
Greg Wadley,Hci,5,0.9,2935.0,28.0,57.0,http://people.eng.unimelb.edu.au/gwadley/,0000-0003-4230-3440,University of Melbourne,2.1,19
James Bailey 0001,"Ai, Ml",4,0.7,13568.0,50.0,189.0,http://people.eng.unimelb.edu.au/baileyj/,0000-0002-3769-3811,University of Melbourne,2.1,19
George Buchanan 0001,Hci,3,0.9,,,,,0000-0001-9044-6644,University of Melbourne,2.1,19
Lars Kulik,Hci,3,0.5,6165.0,43.0,92.0,http://lars.kuliks.net/,,University of Melbourne,2.1,19
Reeva Lederman,Hci,2,0.4,2314.0,27.0,41.0,http://cis.unimelb.edu.au/people/staff.php?person_ID=5168,0000-0003-4005-329X,University of Melbourne,2.1,19
Tim Miller 0001,Ai,1,0.3,,,,,0000-0003-4908-6063,University of Melbourne,2.1,19
Shanton Chang,,1,0.3,4645.0,34.0,73.0,http://findanexpert.unimelb.edu.au/profile/3747-shanton-chang,0000-0002-2163-3910,University of Melbourne,2.1,19
Simon D'Alfonso,,1,0.3,893.0,15.0,22.0,https://people.eng.unimelb.edu.au/dalfonso/,,University of Melbourne,2.1,19
Christoph Treude,Se,1,0.2,4885.0,37.0,74.0,http://www.ctreude.ca/,0000-0002-6919-2149,University of Melbourne,2.1,19
Ian D. Reid 0001,"Vision, Robotics",30,7.3,,,,,0000-0001-7790-6423,University of Adelaide,2.0,11
Feras Dayoub,Robotics,19,4.1,3673.0,23.0,38.0,http://ferasdayoub.com/,0000-0002-4234-7374,University of Adelaide,2.0,11
Tat-Jun Chin,Vision,10,2.3,4317.0,36.0,77.0,http://cs.adelaide.edu.au/~ssl,0000-0003-2423-9342,University of Adelaide,2.0,11
Hsiang-Ting Chen,Hci,8,1.3,819.0,13.0,18.0,http://ht-timchen.github.io/,0000-0003-0873-2698,University of Adelaide,2.0,11
Simon Lucey,Vision,4,1.2,14191.0,55.0,123.0,https://www.adelaide.edu.au/directory/simon.lucey,,University of Adelaide,2.0,11
Damith Chinthana Ranasinghe,"Ai, Hci",3,0.6,,,,,0000-0002-2008-9255,University of Adelaide,2.0,11
Anthony R. Dick,Vision,2,0.7,,,,,0000-0001-9049-7345,University of Adelaide,2.0,11
Lingqiao Liu,Vision,2,0.3,6353.0,34.0,66.0,https://lingqiao-adelaide.github.io/lingqiaoliu.github.io/,0000-0003-3584-795X,University of Adelaide,2.0,11
Bradley James Alexander,,1,0.5,,,,,,University of Adelaide,2.0,11
Mingyu Guo,Ai,1,0.2,951.0,17.0,25.0,http://cs.adelaide.edu.au/~mingyu/,0000-0002-3478-9201,University of Adelaide,2.0,11
Qinfeng Shi,Vision,1,0.2,8340.0,40.0,84.0,http://www.cs.adelaide.edu.au/~javen,0000-0002-9126-2107,University of Adelaide,2.0,11
Michael Milford,Robotics,49,14.8,11283.0,46.0,135.0,https://www.qut.edu.au/about/our-people/academic-profiles/michael.milford,0000-0002-5162-1793,Queensland University of Technology,1.9,15
Peter I. Corke,Robotics,39,10.3,35594.0,81.0,310.0,https://staff.qut.edu.au/staff/peter.corke,0000-0001-6650-367X,Queensland University of Technology,1.9,15
Niko Sünderhauf,Robotics,22,5.6,8541.0,41.0,69.0,http://www.nikosuenderhauf.info/,0000-0001-5286-3789,Queensland University of Technology,1.9,15
Thierry Peynot,Robotics,9,2.3,,,,,0000-0001-8275-6538,Queensland University of Technology,1.9,15
Luis Mejías Alvarez,Robotics,6,1.6,2921.0,31.0,69.0,http://www.luismejias.com/,0000-0002-6298-2340,Queensland University of Technology,1.9,15
Christopher F. Lehnert,Robotics,6,1.0,1015.0,14.0,18.0,http://staff.qut.edu.au/staff/lehnert/,0000-0002-4230-8068,Queensland University of Technology,1.9,15
Jonathan Roberts 0001,Robotics,5,1.2,,,,,0000-0003-2318-3623,Queensland University of Technology,1.9,15
Matthew Dunbabin,Robotics,5,1.5,4866.0,31.0,55.0,http://staff.qut.edu.au/staff/dunbabin/,0000-0003-0806-7720,Queensland University of Technology,1.9,15
Tobias Fischer 0001,"Vision, Robotics",3,1.0,1881.0,14.0,16.0,https://www.tobiasfischer.info/,0000-0003-2183-017X,Queensland University of Technology,1.9,15
Luis Felipe Gonzalez,Robotics,3,0.8,4969.0,37.0,92.0,https://staff.qut.edu.au/staff/felipe.gonzalez,0000-0002-4342-3682,Queensland University of Technology,1.9,15
Aaron McFadyen,Robotics,3,0.8,597.0,15.0,21.0,https://www.qut.edu.au/about/our-people/academic-profiles/aaron.mcfadyen,0000-0002-9158-0412,Queensland University of Technology,1.9,15
Dimity Miller,Robotics,2,0.5,,,,,0000-0001-6312-8325,Queensland University of Technology,1.9,15
Jason J. Ford,,1,0.2,,,,,0000-0001-5847-6253,Queensland University of Technology,1.9,15
Chris Lehnert,,1,0.3,1015.0,14.0,18.0,http://staff.qut.edu.au/staff/lehnert/,0000-0002-4230-8068,Queensland University of Technology,1.9,15
Frédéric Maire,,1,0.3,1963.0,23.0,50.0,http://staff.qut.edu.au/staff/maire/,0000-0002-6212-7651,Queensland University of Technology,1.9,15
Andy Cockburn,Hci,33,9.2,,,,,0000-0003-1074-4268,University of Canterbury,1.8,2
Robert W. Lindeman,"Visualization, Hci",11,2.4,4476.0,35.0,93.0,http://www.canterbury.ac.nz/Spark/Researcher.aspx?researcherid=4447467,0000-0002-0637-7701,University of Canterbury,1.8,2
Surya P. N. Singh,Robotics,7,2.2,4830.0,31.0,100.0,http://www.iucaa.ernet.in/~hksahu/singh.htm,,University of Queensland,1.6,6
Janet Wiles,Robotics,5,1.0,6239.0,35.0,109.0,http://researchers.uq.edu.au/researcher/13,0000-0002-4051-4116,University of Queensland,1.6,6
Paul E. I. Pounds,Robotics,4,1.8,,,,,0000-0001-5313-8722,University of Queensland,1.6,6
Ben Matthews,Hci,3,0.9,6296.0,48.0,122.0,http://plantbiotechnology.us/,0000-0003-1128-729X,University of Queensland,1.6,6
Xue Li 0001,Ai,1,0.2,,,,,0000-0002-4515-6792,University of Queensland,1.6,6
Daniel Angus,,1,0.3,1794.0,22.0,29.0,https://staff.qut.edu.au/staff/daniel.angus,0000-0002-1412-5096,University of Queensland,1.6,6
John P. Lewis,Graphics,3,0.8,,,,,0000-0002-6835-7263,Victoria University of Wellington,1.6,8
Taehyun Rhee,Visualization,3,0.8,1299.0,15.0,19.0,http://ecs.victoria.ac.nz/Main/TaehyunRhee,0000-0002-6150-0637,Victoria University of Wellington,1.6,8
Dale Anthony Carnegie,Robotics,2,0.6,,,,,,Victoria University of Wellington,1.6,8
Zohar Levi,Graphics,2,0.8,207.0,7.0,7.0,http://homepages.ecs.vuw.ac.nz/~zl/,0000-0002-1045-5880,Victoria University of Wellington,1.6,8
Neil A. Dodgson,,1,0.5,7238.0,42.0,100.0,http://www.neildodgson.com/,0000-0001-7649-8528,Victoria University of Wellington,1.6,8
Ajay Kapur,,1,0.3,,,,,,Victoria University of Wellington,1.6,8
Bryan Ng,,1,0.2,2649.0,27.0,59.0,https://researchers.adelaide.edu.au/profile/brian.ng,0000-0001-5180-8331,Victoria University of Wellington,1.6,8
Winston Khoon Guan Seah,,1,0.2,,,,,0000-0001-7147-5167,Victoria University of Wellington,1.6,8
Nico Pietroni,Graphics,13,2.5,2871.0,29.0,41.0,http://www.nicopietroni.com/,0000-0002-8271-2102,University of Technology Sydney,1.5,4
Jonghyuk Kim,Robotics,4,1.8,,,,,0000-0003-4505-1103,University of Technology Sydney,1.5,4
Chin-Teng Lin,"Hpc, Robotics",3,0.4,31958.0,86.0,379.0,https://protect-au.mimecast.com/s/BuwbCgZ0kVUGPlXmFNGd_x?domain=uts-cibci.center,0000-0001-8371-8197,University of Technology Sydney,1.5,4
Yu-Kai Wang,Robotics,2,0.3,1164.0,19.0,32.0,https://www.uts.edu.au/staff/yukai.wang,0000-0001-8390-2664,University of Technology Sydney,1.5,4
Tao Gu,Hci,18,3.1,11387.0,46.0,108.0,https://www.taogu.site/,0000-0002-1350-6639,Macquarie University,1.3,2
Quan Z. Sheng,Ai,2,0.3,17677.0,60.0,248.0,http://web.science.mq.edu.au/~qsheng/,0000-0002-3326-4147,Macquarie University,1.3,2
Flora D. Salim,Hci,8,2.2,2929.0,29.0,88.0,https://www.unsw.edu.au/staff/flora-salim,0000-0002-1237-1664,RMIT University,1.3,5
Dana McKay,Hci,3,1.0,1067.0,19.0,37.0,http://www.danamckay.com/,0000-0001-7522-1842,RMIT University,1.3,5
Fabio Zambetta,"Ai, Hci",2,0.3,,,,,0000-0003-4133-7913,RMIT University,1.3,5
Mengmeng Ge,,1,0.2,702.0,13.0,15.0,https://sites.google.com/site/mengmengge88/home,0000-0003-2869-4203,RMIT University,1.3,5
Yongli Ren,Web+ir,1,0.2,1037.0,18.0,38.0,https://sites.google.com/site/yonglihomepage/,0000-0002-3137-9653,RMIT University,1.3,5
Paul Denny,Hci,4,1.7,,,,,0000-0003-4659-6893,University of Auckland,1.3,5
Gerald Weber,Hci,4,1.3,,,,,0000-0002-2935-1571,University of Auckland,1.3,5
Burkhard Wünsche,,2,0.3,3364.0,27.0,87.0,https://www.cs.auckland.ac.nz/people/b-wuensche,0000-0002-8013-4118,University of Auckland,1.3,5
Mark Gahegan,,1,0.2,7055.0,44.0,103.0,https://www.cs.auckland.ac.nz/people/mark-gahegan,0000-0001-7209-8156,University of Auckland,1.3,5
Beryl Plimmer,,1,0.1,2418.0,25.0,57.0,http://www.cs.auckland.ac.nz/~beryl/,,University of Auckland,1.3,5
Steven Mills,Visualization,6,1.4,2619.0,21.0,45.0,http://www.cs.otago.ac.nz/staffpriv/steven/,0000-0002-4933-7777,University of Otago,1.3,2
Stefanie Zollmann,"Visualization, Hci",5,1.1,1897.0,22.0,29.0,http://visualcomputing.otago.ac.nz/,0000-0002-4690-5409,University of Otago,1.3,2
Mohammed Bennamoun,Vision,4,1.3,22192.0,69.0,298.0,http://www.csse.uwa.edu.au/~bennamou/,0000-0002-6603-3257,University of Western Australia,1.2,2
Ajmal Mian,Vision,2,0.5,13697.0,56.0,164.0,http://ajmalsaeed.net/,0000-0002-5206-3842,University of Western Australia,1.2,2
Ebubekir Avci,Robotics,4,1.0,412.0,10.0,11.0,https://www.massey.ac.nz/massey/expertise/profile.cfm?stref=288350,0000-0002-4687-0859,Massey University,1.1,2
Rachel Blagojevic,,1,0.1,,,,,,Massey University,1.1,2
Michael Mayo,,1,0.2,1761.0,19.0,32.0,https://www.cms.waikato.ac.nz/people/mmayo,0000-0001-8222-3782,University of Waikato,1.0,1
Christian Holz 0001,Hci,51,11.9,5067.0,39.0,69.0,https://www.christianholz.net/,0000-0001-9655-9519,ETH Zurich,7.7,19
Stelian Coros,"Graphics, Robotics",50,12.3,,,,,0000-0001-6604-4784,ETH Zurich,7.7,19
Markus H. Gross,,46,9.7,45385.0,107.0,415.0,http://graphics.ethz.ch/~grossm,0000-0002-6838-9775,ETH Zurich,7.7,19
Olga Sorkine-Hornung,,40,10.1,17938.0,65.0,130.0,http://igl.ethz.ch/people/sorkine/,0000-0002-8089-3974,ETH Zurich,7.7,19
Otmar Hilliges,"Vision, Hci",38,8.4,,,,,0000-0002-5068-3474,ETH Zurich,7.7,19
Bernhard Thomaszewski,Graphics,30,6.1,3801.0,35.0,58.0,https://n.ethz.ch/~bthomasz/,0000-0001-8086-7664,ETH Zurich,7.7,19
Luc Van Gool,Vision,12,3.1,,,,,0000-0002-3445-5711,ETH Zurich,7.7,19
Andreas Krause 0001,Ml,9,2.0,35222.0,90.0,247.0,http://las.ethz.ch/krausea.html,0000-0001-7260-9673,ETH Zurich,7.7,19
Gunnar Rätsch,"Ml, Comp. bio",5,1.0,45090.0,85.0,188.0,http://raetschlab.org/,0000-0001-5486-8532,ETH Zurich,7.7,19
Roger Wattenhofer,Ml,5,1.8,33654.0,90.0,300.0,http://www.disco.ethz.ch/members/roger.html,0000-0002-6339-3134,ETH Zurich,7.7,19
Fisher Yu,Vision,5,1.1,28223.0,36.0,47.0,https://www.yf.io/,0000-0001-8829-7344,ETH Zurich,7.7,19
Lothar Thiele,Embedded,4,1.2,69462.0,89.0,387.0,http://www.tik.ee.ethz.ch/~thiele/,0000-0001-6139-868X,ETH Zurich,7.7,19
Moira C. Norrie,Hci,3,0.8,,,,,0000-0002-6864-8554,ETH Zurich,7.7,19
Martin T. Vechev,"Pl, Ml",3,0.8,10409.0,51.0,124.0,http://www.sri.inf.ethz.ch/people/martin,0000-0002-0054-9568,ETH Zurich,7.7,19
Thomas R. Gross,"Se, Security, Hci",2,0.5,,,,,0000-0002-2038-2902,ETH Zurich,7.7,19
Peter Müller 0001,Logic,1,0.3,,,,,0000-0001-7001-2566,ETH Zurich,7.7,19
David A. Basin,,1,0.2,,,,,0000-0003-2952-939X,ETH Zurich,7.7,19
Srdjan Capkun,,1,0.2,26387.0,71.0,161.0,https://srdjan-capkun.com/,,ETH Zurich,7.7,19
Onur Mutlu,,1,0.2,45477.0,116.0,353.0,https://people.inf.ethz.ch/omutlu/,0000-0002-0075-2312,ETH Zurich,7.7,19
Niloy J. Mitra,Graphics,46,11.0,20722.0,68.0,164.0,http://www.cs.ucl.ac.uk/staff/n.mitra/,0000-0002-2597-0914,University College London,6.6,27
Sriram Subramanian,Hci,40,9.4,8207.0,49.0,128.0,https://subramaniansri.github.io/,0000-0002-5266-8366,University College London,6.6,27
Anthony Steed,Visualization,24,6.6,17706.0,64.0,201.0,http://www.cs.ucl.ac.uk/staff/A.Steed,0000-0001-9034-3020,University College London,6.6,27
Nicolai Marquardt,Hci,22,5.0,5078.0,34.0,71.0,http://www.nicolaimarquardt.com/,0000-0002-5473-2448,University College London,6.6,27
Yvonne Rogers,,19,4.4,43875.0,84.0,233.0,http://www.ucl.ac.uk/uclic/people/y_rogers/,0000-0001-7612-0234,University College London,6.6,27
Diego Martínez 0001,Hci,15,3.6,947.0,17.0,27.0,https://orcid.org/0000-0002-5815-8236,0000-0002-5815-8236,University College London,6.6,27
Tobias Ritschel 0001,"Graphics, Vision",15,3.4,4971.0,38.0,85.0,http://www.homepages.ucl.ac.uk/~ucactri/,,University College London,6.6,27
Anna Louise Cox,Hci,15,4.3,,,,,0000-0003-2231-2964,University College London,6.6,27
Nadia Bianchi-Berthouze,Hci,14,2.9,8726.0,47.0,141.0,http://www.ucl.ac.uk/uclic/people/n-berthouze,0000-0001-8921-0044,University College London,6.6,27
Marianna Obrist,Hci,13,2.7,5257.0,36.0,95.0,http://multisensory.info/,0000-0002-4009-1627,University College London,6.6,27
Mirco Musolesi,Hci,12,4.2,15920.0,56.0,115.0,https://www.mircomusolesi.org/,0000-0001-9712-4090,University College London,6.6,27
Danail Stoyanov,Robotics,12,2.3,9812.0,50.0,174.0,http://www0.cs.ucl.ac.uk/staff/Dan.Stoyanov/,0000-0002-0980-3227,University College London,6.6,27
Ann Blandford,Hci,10,2.5,,,,,0000-0002-3198-7122,University College London,6.6,27
Marc Peter Deisenroth,"Ml, Robotics",8,1.8,12204.0,43.0,79.0,https://deisenroth.cc/,0000-0003-1503-680X,University College London,6.6,27
Simon J. Julier,Robotics,8,1.9,,,,,0000-0003-4380-137X,University College London,6.6,27
Mel Slater,Visualization,8,1.9,52927.0,107.0,295.0,http://www.melslater.me/,0000-0002-6223-0050,University College London,6.6,27
Tim Weyrich,Graphics,8,1.4,4843.0,33.0,65.0,http://tim.weyri.ch/,0000-0002-4322-8844,University College London,6.6,27
Duncan P. Brumby,Hci,6,1.3,2657.0,28.0,63.0,http://www.ucl.ac.uk/uclic/people/d-brumby,0000-0003-2846-2592,University College London,6.6,27
Gabriel J. Brostow,Vision,5,1.1,11577.0,37.0,56.0,http://web4.cs.ucl.ac.uk/staff/g.brostow/,0000-0001-8472-3828,University College London,6.6,27
Lourdes Agapito,Vision,3,0.9,,,,,0000-0002-6947-1092,University College London,6.6,27
Licia Capra,"Web+ir, Hci",3,0.6,11080.0,55.0,113.0,http://www0.cs.ucl.ac.uk/staff/l.capra/,0000-0003-1425-3837,University College London,6.6,27
Stephen Hailes,Robotics,2,0.5,1303.0,18.0,26.0,http://stevenhales.org/,,University College London,6.6,27
Catherine Holloway,Hci,2,0.3,1246.0,19.0,41.0,http://www.cathyholloway.net/,0000-0001-7843-232X,University College London,6.6,27
Emiliano De Cristofaro,"Metrics, Security",1,0.5,10149.0,54.0,106.0,https://emilianodc.com/,0000-0002-7097-6346,University College London,6.6,27
Nicolas E. Gold,Se,1,0.2,,,,,0000-0002-2195-5995,University College London,6.6,27
David Jones,,1,0.2,53313.0,79.0,159.0,http://bioinf.cs.ucl.ac.uk/,0000-0002-0292-0607,University College London,6.6,27
Ifat Yasin,,1,0.3,,,,,0000-0002-7055-6448,University College London,6.6,27
Alin Albu-Schäffer,Robotics,57,14.5,,,,,0000-0001-5343-9074,TU Munich,5.7,24
Alois C. Knoll,Robotics,54,11.7,,,,,0000-0003-4840-076X,TU Munich,5.7,24
Sami Haddadin,Robotics,53,14.3,14757.0,52.0,110.0,http://www.mirmi.tum.de/rsi,0000-0001-7696-4955,TU Munich,5.7,24
Daniel Cremers,Vision,37,9.7,58358.0,111.0,398.0,http://vision.in.tum.de/members/cremers,0000-0002-3079-7984,TU Munich,5.7,24
Nassir Navab,"Vision, Robotics",34,7.2,58893.0,106.0,782.0,http://campar.in.tum.de/,0000-0002-6032-5611,TU Munich,5.7,24
Stefan Leutenegger,Robotics,23,5.4,13699.0,36.0,63.0,https://srl.in.tum.de/,0000-0002-7998-3737,TU Munich,5.7,24
Matthias Althoff,Robotics,18,7.0,7876.0,47.0,148.0,https://www.in.tum.de/i06/people/prof-dr-ing-matthias-althoff/,0000-0003-3733-842X,TU Munich,5.7,24
Matthias Nießner,Vision,18,2.9,20487.0,57.0,121.0,https://niessnerlab.org/publications.html,0000-0001-6093-5199,TU Munich,5.7,24
Nils Thürey,Graphics,16,4.6,6623.0,45.0,82.0,https://ge.in.tum.de/,0000-0001-6647-8910,TU Munich,5.7,24
